dms_orig,dms_dest,description,state
#------------------------------------------------------+
# Alaska (20) to and from...                           |
#------------------------------------------------------+
532,519,Remainder of Virginia,VA
532,540,West Virginia,WV
532,551,Milwaukee-Racine-Waukesha,WI
532,559,Remainder of Wisconsin,WI
532,560,Wyoming,WY
#------------------------------------------------------+
# Remainder of Washington (539) to and from            |
#------------------------------------------------------+
539,11,Birmingham-Hoover-Talladega,AL
539,12,Mobile-Daphne-Fairhope,AL
539,19,Remainder of Alabama,AL
539,41,Phoenix-Mesa-Glendale,AZ
539,42,Tucson-Nogales,AZ
539,49,Remainder of Arizona,AZ
539,50,Arkansas,AR
539,81,Denver-Aurora,CO
539,89,Remainder of Colorado,CO
539,91,Hartford-West Hartford-East Hartford,CT
539,92,New York-Newark,CT
539,99,Remainder of Connecticut,CT
539,101,Philadelphia-Reading-Camden,DE
539,109,Remainder of Delaware,DE
539,111,Washington,DC
539,121,Jacksonville-Palatka,FL
539,122,Miami-Fort Lauderdale-Port St. Lucie,FL
539,123,Orlando-Deltona-Daytona Beach,FL
539,124,Tampa-St. Petersburg-Clearwater,FL
539,129,Remainder of Florida,FL
539,131,Atlanta-Athens-Clarke County-Sandy Springs,GA
539,132,Savannah-Hinesville-Statesboro,GA
539,139,Remainder of Georgia,GA
539,151,Honolulu,HI
539,159,Remainder of Hawaii,HI
539,160,Idaho,ID
539,171,Chicago-Naperville,IL
539,172,St. Louis-St. Charles-Farmington,IL
539,179,Remainder of Illinois,IL
539,181,Chicago-Naperville,IN
539,182,Indianapolis-Carmel-Muncie,IN
539,183,Fort Wayne-Huntington-Auburn,IN
539,189,Remainder of Indiana,IN
539,190,Iowa,IA
539,201,Kansas City-Overland Park,KS
539,202,Wichita-Arkansas City-Winfield,KS
539,209,Remainder of Kansas,KS
539,211,Cincinnati-Wilmington-Maysville,KY
539,212,Louisville/Jefferson County-Elizabethtown-Madison,KY
539,219,Remainder of Kentucky,KY
539,221,Baton Rouge,LA
539,222,Lake Charles,LA
539,223,New Orleans-Metairie-Hammond,LA
539,229,Remainder of Louisiana,LA
539,230,Maine,ME
539,241,Baltimore-Columbia-Towson,MD
539,242,Washington-Arlington-Alexandria,MD
539,249,Remainder of Maryland,MD
539,251,Boston-Worcester-Providence,MA
539,259,Remainder of Massachusetts,MA
539,261,Detroit-Warren-Ann Arbor,MI
539,262,Grand Rapids-Wyoming-Muskegon,MI
539,269,Remainder of Michigan,MI 
539,271,Minneapolis-St. Paul,MN
539,279,Remainder of Minnesota,MN
539,280,Mississippi,MS
539,291,Kansas City,MO
539,292,St. Louis-St. Charles-Farmington,MO
539,299,Remainder of Missouri,MO
539,300,Montana,MT
539,311,Omaha-Council Bluffs-Fremont,NE
539,319,Remainder of Nebraska,NE
539,321,Las Vegas-Henderson,NV
539,331,Providence,NH
539,339,Remainder of New Hampshire,NH
539,341,Newark,NJ
539,342,Camden,NJ
539,350,New Mexico,NM
539,361,Albany-Schenectady,NY
539,362,Buffalo-Cheektowaga,NY
539,363,New York,NY
539,364,Rochester-Batavia-Seneca Falls,NY
539,369,Remainder of New York,NY
539,371,Charlotte-Concord,NC
539,372,Greensboro-Winston-Salem-High Point,NC
539,373,Raleigh-Durham-Chapel Hill,NC
539,379,Remainder of North Carolina,NC
539,380,North Dakota,ND
539,391,Cincinnati-Wilmington,OH
539,392,Cleveland-Akron-Canton,OH
539,393,Columbus-Marion-Zanesville,OH
539,394,Dayton-Springfield-Sidney,OH
539,399,Remainder of Ohio,OH
539,401,Oklahoma City-Shawnee,OK
539,402,Tulsa-Muskogee-Bartlesville,OK
539,409,Remainder of Oklahoma,OK
539,421,Philadelphia-Reading,PA
539,422,Pittsburgh-New Castle-Weirton,PA
539,423,New York-Newark,PA
539,429,Remainder of Pennsylvania,PA
539,441,Rhode Island,RI
539,451,Charleston-North Charleston-Summerville,SC
539,452,Greenville-Spartanburg-Anderson,SC
539,459,Remainder of South Carolina,SC
539,460,South Dakota,SD
539,471,Memphis,TN
539,472,Nashville-Davidson-Murfreesboro,TN
539,473,Knoxville-Morristown-Sevierville,TN
539,479,Remainder of Tennessee,TN
539,481,Austin-Round Rock,TX
539,482,Beaumont-Port Arthur,TX
539,483,Corpus Christi-Kingsville-Alice,TX
539,484,Dallas-Fort Worth,TX
539,485,El Paso,TX 
539,486,Houston-The Woodlands,TX
539,487,Laredo,TX
539,488,San Antonio-New Braunfels,TX
539,489,Remainder of Texas,TX
539,491,Salt Lake City-Provo-Orem,UT
539,499,Remainder of Utah,UT 
539,500,Vermont,VT 
539,511,Richmond,VA
539,512,Virginia Beach-Norfolk,VA
539,513,Arlington-Alexandria,VA
539,519,Remainder of Virginia,VA
539,540,West Virginia,WV
539,551,Milwaukee-Racine-Waukesha,WI
539,559,Remainder of Wisconsin,WI
539,560,Wyoming,WY
#------------------------------------------------------+
# Wyoming (560) to and from                            |
#------------------------------------------------------+
560,491,Salt Lake City-Provo-Orem,UT
560,499,Remainder of Utah,UT 
